ym,cme_net_eom,cme_net_mean
2015-12,-17226,-43425
2016-01,50026,29262
2016-02,52734,45278
2016-03,54387,55436
2016-04,66498,66158
2016-05,14837,43277
2016-06,59750,52647
2016-07,34958,46356
2016-08,63661,54103
2016-09,68892,59753
2016-10,44595,49048
2016-11,-269,21285
2016-12,-87009,-64956
2017-01,-58331,-73921
2017-02,-50017,-51631
2017-03,-53181,-61541
2017-04,-26869,-34474
2017-05,-52275,-46146
2017-06,-61350,-54222
2017-07,-121489,-108892
2017-08,-68524,-85622
2017-09,-71347,-63228
2017-10,-118869,-104615
2017-11,-110640,-124272
2017-12,-116086,-114712
2018-01,-114696,-120844
2018-02,-96651,-108344
2018-03,-3668,-48013
2018-04,583,2377
2018-05,-8036,-2798
2018-06,-34221,-17042
2018-07,-68457,-55888
2018-08,-46041,-53656
2018-09,-84719,-63573
2018-10,-91620,-102858
2018-11,-104324,-98951
2018-12,-88623,-99571
2019-01,-33345,-45187
2019-02,-39654,-34817
2019-03,-62121,-57857
2019-04,-99599,-83076
2019-05,-55577,-66016
2019-06,-10147,-29066
2019-07,-4218,-5971
2019-08,33607,25016
2019-09,12783,24230
2019-10,-19698,-3915
2019-11,-39591,-34056
2019-12,-25302,-38482
2020-01,-36025,-31101
2020-02,-56389,-32924
2020-03,18282,8183
2020-04,32326,25851
2020-05,34607,29307
2020-06,23861,24694
2020-07,28507,20738
2020-08,23616,25661
2020-09,24789,25721
2020-10,17893,18288
2020-11,40242,34975
2020-12,47350,46615
2021-01,44992,48929
2021-02,28622,36263
2021-03,-59481,-25318
2021-04,-48509,-56157
2021-05,-50156,-46081
2021-06,-69895,-51007
2021-07,-59934,-60263
2021-08,-63130,-61771
2021-09,-64760,-60863
2021-10,-107036,-87524
2021-11,-78866,-96444
2021-12,-53102,-55498
2022-01,-68273,-74735
2022-02,-63187,-62284
2022-03,-102131,-73508
2022-04,-95535,-104594
2022-05,-94439,-101488
2022-06,-52570,-68106
2022-07,-61481,-58787
2022-08,-41531,-35403
2022-09,-82556,-75679
2022-10,-102618,-88992
2022-11,-67394,-70193
2022-12,-37730,-49449
2023-01,-20060,-29379
2023-02,-58678,-37410
2023-03,-53975,-67604
2023-04,-68744,-59964
2023-05,-96193,-74197
2023-06,-112870,-107330
2023-07,-77752,-100773
2023-08,-98473,-87431
2023-09,-109512,-101745
2023-10,-103848,-103920
2023-11,-109237,-112245
2023-12,-55568,-76639
2024-01,-80455,-64161
2024-02,-132705,-112312
2024-03,-129106,-116571
2024-04,-168388,-163861
2024-05,-156039,-140378
2024-06,-173900,-148083
2024-07,-73460,-139579
2024-08,25868,15301
2024-09,66011,54934
2024-10,-24817,23073
2024-11,-22633,-44642
2024-12,-8443,5583
2025-01,-959,-16308
2025-02,95980,57483
2025-03,125376,128973
2025-04,179212,159544
2025-05,164012,170117
2025-06,132277,139724
2025-07,89243,108593
2025-08,84484,79576
2025-09,61465,73455
2025-10,68115,55500
2025-11,26517,39354
2025-12,14068,13243
2026-01,-33933,-28778
2026-02,11539,-3458
2026-03,-72872,-52284
2026-04,-102059,-93367
2026-05,-114667,-86353
