date,NonComm_Positions_Long_All,NonComm_Positions_Short_All,net,Open_Interest_All
2015-12-01,31228,106129,-74901,253505
2015-12-08,26400,94450,-68050,246055
2015-12-15,37301,63881,-26580,194196
2015-12-22,37677,68044,-30367,197375
2015-12-29,45008,62234,-17226,196825
2016-01-05,67471,63368,4103,220707
2016-01-12,78385,53119,25266,241366
2016-01-19,84485,46832,37653,247614
2016-01-26,92628,42602,50026,250711
2016-02-02,82108,44863,37245,237289
2016-02-09,75811,32579,43232,237081
2016-02-16,84518,36617,47901,248985
2016-02-23,92376,39642,52734,257064
2016-03-01,94070,34445,59625,261679
2016-03-08,93867,29534,64333,289879
2016-03-15,79426,33937,45489,140084
2016-03-22,82812,29466,53346,146421
2016-03-29,84870,30483,54387,148292
2016-04-05,98130,38057,60073,166831
2016-04-12,100120,33930,66190,173515
2016-04-19,105710,33840,71870,179888
2016-04-26,97470,30972,66498,168767
2016-05-03,85627,24106,61521,161529
2016-05-10,88897,29850,59047,165549
2016-05-17,86165,27246,58919,158909
2016-05-24,54792,32733,22059,159833
2016-05-31,46964,32127,14837,156499
2016-06-07,68237,25384,42853,180894
2016-06-14,77703,22013,55690,139052
2016-06-21,79398,27102,52296,144710
2016-06-28,85493,25743,59750,143117
2016-07-05,87037,23469,63568,150417
2016-07-12,85364,37819,47545,161262
2016-07-19,79864,40511,39353,158366
2016-07-26,74074,39116,34958,159869
2016-08-02,76575,34875,41700,156696
2016-08-09,86719,37888,48831,167011
2016-08-16,88273,32267,56006,165905
2016-08-23,90387,30071,60316,164756
2016-08-30,91570,27909,63661,164329
2016-09-06,83968,29479,54489,159342
2016-09-13,86140,29294,56846,167340
2016-09-20,85117,26332,58785,140738
2016-09-27,97432,28540,68892,155170
2016-10-04,101986,33291,68695,157574
2016-10-11,79279,33370,45909,150394
2016-10-18,74966,37975,36991,156607
2016-10-25,82385,37790,44595,163040
2016-11-01,81010,37850,43160,165124
2016-11-08,72619,40663,31956,164328
2016-11-15,67085,46409,20676,170967
2016-11-22,71183,60283,10900,187684
2016-11-29,72124,72393,-269,202171
2016-12-06,74367,108304,-33937,235915
2016-12-13,62432,125861,-63429,285274
2016-12-20,64200,139649,-75449,220435
2016-12-27,40565,127574,-87009,219343
2017-01-03,37962,124726,-86764,220120
2017-01-10,26041,105880,-79839,209488
2017-01-17,28560,106390,-77830,211752
2017-01-24,27127,93967,-66840,196765
2017-01-31,32216,90547,-58331,204494
2017-02-07,25874,80934,-55060,201632
2017-02-14,27701,78985,-51284,204277
2017-02-21,29954,80116,-50162,205223
2017-02-28,29012,79029,-50017,204602
2017-03-07,39203,93903,-54700,217982
2017-03-14,35563,106860,-71297,202647
2017-03-21,35039,102026,-66987,191626
2017-03-28,42886,96067,-53181,197542
2017-04-04,41313,87113,-45800,194368
2017-04-11,43316,78080,-34764,198381
2017-04-18,45761,76224,-30463,203617
2017-04-25,48538,75407,-26869,204179
2017-05-02,37519,68002,-30483,196845
2017-05-09,42635,78942,-36307,203140
2017-05-16,41963,101971,-60008,222510
2017-05-23,41920,93576,-51656,211298
2017-05-30,43404,95679,-52275,213727
2017-06-06,39736,94763,-55027,225549
