ym,us3m,jpy3m,diff,src_jpy,d_diff,z
2016-05,0.34,-0.02,0.36000000000000004,NIRP近似,,
2016-06,0.26,-0.02,0.28,NIRP近似,-0.08000000000000002,
2016-07,0.28,-0.02,0.30000000000000004,NIRP近似,0.020000000000000018,
2016-08,0.33,-0.02,0.35000000000000003,NIRP近似,0.04999999999999999,
2016-09,0.29,-0.02,0.31,NIRP近似,-0.040000000000000036,
2016-10,0.34,-0.02,0.36000000000000004,NIRP近似,0.050000000000000044,
2016-11,0.48,-0.02,0.5,NIRP近似,0.13999999999999996,
2016-12,0.51,-0.02,0.53,NIRP近似,0.030000000000000027,
2017-01,0.52,-0.02,0.54,NIRP近似,0.010000000000000009,
2017-02,0.53,-0.02,0.55,NIRP近似,0.010000000000000009,
2017-03,0.76,-0.02,0.78,NIRP近似,0.22999999999999998,
2017-04,0.8,-0.02,0.8200000000000001,NIRP近似,0.040000000000000036,
2017-05,0.98,-0.02,1.0,NIRP近似,0.17999999999999994,
2017-06,1.03,-0.02,1.05,NIRP近似,0.050000000000000044,
2017-07,1.07,-0.02,1.09,NIRP近似,0.040000000000000036,
2017-08,1.01,-0.02,1.03,NIRP近似,-0.06000000000000005,
2017-09,1.06,-0.02,1.08,NIRP近似,0.050000000000000044,
2017-10,1.15,-0.02,1.17,NIRP近似,0.08999999999999986,
2017-11,1.27,-0.02,1.29,NIRP近似,0.1200000000000001,
2017-12,1.39,-0.02,1.41,NIRP近似,0.11999999999999988,
2018-01,1.46,-0.02,1.48,NIRP近似,0.07000000000000006,
2018-02,1.65,-0.02,1.67,NIRP近似,0.18999999999999995,
2018-03,1.73,-0.02,1.75,NIRP近似,0.08000000000000007,
2018-04,1.87,-0.02,1.8900000000000001,NIRP近似,0.14000000000000012,
2018-05,1.93,-0.02,1.95,NIRP近似,0.05999999999999983,-0.0820780578068443
2018-06,1.93,-0.02,1.95,NIRP近似,0.0,-0.9794016488421045
2018-07,2.03,-0.02,2.05,NIRP近似,0.09999999999999987,0.3841942260871825
2018-08,2.11,-0.02,2.13,NIRP近似,0.08000000000000007,0.0829356753972685
2018-09,2.19,-0.02,2.21,NIRP近似,0.08000000000000007,0.012626556696498831
2018-10,2.34,-0.02,2.36,NIRP近似,0.1499999999999999,0.9917340646526741
2018-11,2.37,-0.02,2.39,NIRP近似,0.03000000000000025,-0.7282629257511641
2018-12,2.45,-0.02,2.47,NIRP近似,0.08000000000000007,-0.012601425027800045
2019-01,2.41,-0.02,2.43,NIRP近似,-0.040000000000000036,-1.7166345520005395
2019-02,2.45,-0.02,2.47,NIRP近似,0.040000000000000036,-0.587000245646893
2019-03,2.4,-0.02,2.42,NIRP近似,-0.050000000000000266,-1.813450677105291
2019-04,2.43,-0.02,2.45,NIRP近似,0.03000000000000025,-0.5791149648150815
2019-05,2.35,-0.02,2.37,NIRP近似,-0.08000000000000007,-2.0279433790282018
2019-06,2.12,-0.02,2.14,NIRP近似,-0.22999999999999998,-3.077614609102632
2019-07,2.08,-0.02,2.1,NIRP近似,-0.040000000000000036,-0.9002843291816706
2019-08,1.99,-0.02,2.01,NIRP近似,-0.0900000000000003,-1.4094470338853402
2019-09,1.88,-0.02,1.9,NIRP近似,-0.10999999999999988,-1.4747941192565732
2019-10,1.54,-0.02,1.56,NIRP近似,-0.33999999999999986,-2.892207255299706
2019-11,1.59,-0.02,1.61,NIRP近似,0.050000000000000044,0.3019604814599772
2019-12,1.55,-0.02,1.57,NIRP近似,-0.040000000000000036,-0.38987108191882563
2020-01,1.55,-0.02,1.57,NIRP近似,0.0,-0.03152909009510443
2020-02,1.27,-0.02,1.29,NIRP近似,-0.28,-2.1057055738150154
2020-03,0.11,-0.02,0.13,NIRP近似,-1.1600000000000001,-4.144931523353747
2020-04,0.09,-0.02,0.11,NIRP近似,-0.020000000000000004,0.2082540989798098
2020-05,0.14,-0.02,0.16,NIRP近似,0.05,0.479383185169865
2020-06,0.16,-0.02,0.18,NIRP近似,0.01999999999999999,0.3603495745354318
2020-07,0.09,-0.02,0.11,NIRP近似,-0.06999999999999999,0.0420665141709411
2020-08,0.11,-0.02,0.13,NIRP近似,0.020000000000000004,0.4033508749673664
2020-09,0.1,-0.02,0.12000000000000001,NIRP近似,-0.009999999999999995,0.3030666447363478
2020-10,0.09,-0.02,0.11,NIRP近似,-0.010000000000000009,0.33510929259167394
2020-11,0.08,-0.02,0.1,NIRP近似,-0.009999999999999995,0.34277777585620134
2020-12,0.09,-0.02,0.11,NIRP近似,0.009999999999999995,0.43779751788545657
2021-01,0.06,-0.02,0.08,NIRP近似,-0.03,0.274342427434191
2021-02,0.04,-0.02,0.06,NIRP近似,-0.020000000000000004,0.32635491913014286
2021-03,0.03,-0.02,0.05,NIRP近似,-0.009999999999999995,0.359458363598207
2021-04,0.01,-0.02,0.03,NIRP近似,-0.020000000000000004,0.32862439297195667
2021-05,0.01,-0.02,0.03,NIRP近似,0.0,0.3950405856929117
2021-06,0.05,-0.02,0.07,NIRP近似,0.04000000000000001,0.5118352460690132
2021-07,0.06,-0.02,0.08,NIRP近似,0.009999999999999995,0.3808108028096237
2021-08,0.04,-0.02,0.06,NIRP近似,-0.020000000000000004,0.24735462328135863
2021-09,0.04,-0.02,0.06,NIRP近似,0.0,0.3090369784728732
2021-10,0.05,-0.02,0.07,NIRP近似,0.010000000000000009,0.29768563133286347
2021-11,0.05,-0.02,0.07,NIRP近似,0.0,0.26586190460428805
2021-12,0.06,-0.02,0.08,NIRP近似,0.009999999999999995,0.2981280907820482
2022-01,0.22,0.06727,0.15273,TIBOR実測,0.07273,0.5422030156194556
2022-02,0.35,0.06727,0.28273,TIBOR実測,0.12999999999999998,0.7128328762592628
2022-03,0.52,0.06727,0.45273,TIBOR実測,0.17000000000000004,3.068975735947929
2022-04,0.85,0.06727,0.7827299999999999,TIBOR実測,0.3299999999999999,3.692348754639133
2022-05,1.16,0.06727,1.09273,TIBOR実測,0.31000000000000005,2.7111251846026807
2022-06,1.72,0.06727,1.65273,TIBOR実測,0.56,3.419331456847109
2022-07,2.41,0.06727,2.34273,TIBOR実測,0.69,3.1182292409958268
2022-08,2.96,0.06364,2.89636,TIBOR実測,0.5536300000000001,2.063552279996941
2022-09,3.33,0.05364,3.27636,TIBOR実測,0.3799999999999999,1.143541034212823
2022-10,4.22,0.05364,4.16636,TIBOR実測,0.8900000000000001,2.727176753124204
2022-11,4.37,0.05364,4.31636,TIBOR実測,0.15000000000000036,-0.09814769794643664
2022-12,4.42,0.06364,4.35636,TIBOR実測,0.03999999999999915,-0.5248271236100174
2023-01,4.7,0.07455,4.62545,TIBOR実測,0.2690900000000003,0.30923836191379767
2023-02,4.88,0.07455,4.8054499999999996,TIBOR実測,0.17999999999999972,-0.06983089587366212
2023-03,4.85,0.07455,4.775449999999999,TIBOR実測,-0.03000000000000025,-0.8911752428010934
2023-04,5.1,0.07455,5.025449999999999,TIBOR実測,0.25,0.16706895234319855
2023-05,5.52,0.07455,5.445449999999999,TIBOR実測,0.41999999999999993,0.7773323172411282
2023-06,5.43,0.07,5.359999999999999,TIBOR実測,-0.0854499999999998,-1.1979051404596117
2023-07,5.55,0.07,5.4799999999999995,TIBOR実測,0.1200000000000001,-0.4160667587086676
2023-08,5.56,0.07,5.489999999999999,TIBOR実測,0.009999999999999787,-0.8609757082156181
2023-09,5.55,0.07,5.4799999999999995,TIBOR実測,-0.009999999999999787,-0.9374530621573166
2023-10,5.59,0.07,5.52,TIBOR実測,0.040000000000000036,-0.7467757435320662
2023-11,5.45,0.07,5.38,TIBOR実測,-0.13999999999999968,-1.4025329832812017
2023-12,5.4,0.08,5.32,TIBOR実測,-0.05999999999999961,-1.0686790900923804
2024-01,5.42,0.08091,5.33909,TIBOR実測,0.019089999999999385,-0.7520102288994887
2024-02,5.45,0.10091,5.34909,TIBOR実測,0.010000000000000675,-0.7593774297399375
2024-03,5.46,0.26091,5.19909,TIBOR実測,-0.15000000000000036,-1.265312066766857
2024-04,5.46,0.25727,5.20273,TIBOR実測,0.0036399999999998656,-0.653871239938591
2024-05,5.46,0.28727,5.17273,TIBOR実測,-0.03000000000000025,-0.7192498850408766
2024-06,5.48,0.30727,5.1727300000000005,TIBOR実測,8.881784197001252e-16,-0.5488981846872155
2024-07,5.41,0.36727,5.042730000000001,TIBOR実測,-0.1299999999999999,-0.9845081173891721
2024-08,5.21,0.44727,4.76273,TIBOR実測,-0.28000000000000025,-1.4900427870771038
2024-09,4.73,0.43727,4.292730000000001,TIBOR実測,-0.46999999999999975,-2.003211233662308
2024-10,4.64,0.45,4.1899999999999995,TIBOR実測,-0.1027300000000011,-0.5683105596470903
2024-11,4.58,0.57,4.01,TIBOR実測,-0.17999999999999972,-0.9127956482852823
2024-12,4.37,0.62,3.75,TIBOR実測,-0.2599999999999998,-1.238192407359087
2025-01,4.31,0.76727,3.5427299999999997,TIBOR実測,-0.2072700000000003,-0.8899220194398357
2025-02,4.32,0.79182,3.5281800000000003,TIBOR実測,-0.014549999999999397,0.21973179902982415
2025-03,4.32,0.82091,3.4990900000000003,TIBOR実測,-0.02909000000000006,0.13689170746962254
2025-04,4.31,0.78364,3.5263599999999995,TIBOR実測,0.02726999999999924,0.5444031876803329
2025-05,4.36,0.77545,3.58455,TIBOR実測,0.05819000000000063,1.0276748716845914
2025-06,4.41,0.77273,3.63727,TIBOR実測,0.05271999999999988,0.9242939978401995
2025-07,4.41,0.77273,3.63727,TIBOR実測,0.0,0.5933932291657499
2025-08,4.23,0.77273,3.4572700000000003,TIBOR実測,-0.17999999999999972,-0.7349995974811135
2025-09,4.02,0.81818,3.2018199999999997,TIBOR実測,-0.2554500000000006,-1.2056100432734447
2025-10,3.89,0.80909,3.0809100000000003,TIBOR実測,-0.1209099999999994,-0.14823127990514737
2025-11,3.88,0.80636,3.07364,TIBOR実測,-0.00727000000000011,0.6770970858894952
2025-12,3.67,1.07273,2.59727,TIBOR実測,-0.4763700000000002,-2.386446547346692
2026-01,3.67,1.11636,2.5536399999999997,TIBOR実測,-0.04363000000000028,0.4821373085586164
2026-02,3.67,1.22909,2.4409099999999997,TIBOR実測,-0.11273,0.05712478055583497
2026-03,3.7,1.26882,2.4311800000000003,TIBOR実測,-0.00972999999999935,0.7068480037784038
