ym,jpy3m
2022-01,0.06727
2022-02,0.06727
2022-03,0.06727
2022-04,0.06727
2022-05,0.06727
2022-06,0.06727
2022-07,0.06727
2022-08,0.06364
2022-09,0.05364
2022-10,0.05364
2022-11,0.05364
2022-12,0.06364
2023-01,0.07455
2023-02,0.07455
2023-03,0.07455
2023-04,0.07455
2023-05,0.07455
2023-06,0.07
2023-07,0.07
2023-08,0.07
2023-09,0.07
2023-10,0.07
2023-11,0.07
2023-12,0.08
2024-01,0.08091
2024-02,0.10091
2024-03,0.26091
2024-04,0.25727
2024-05,0.28727
2024-06,0.30727
2024-07,0.36727
2024-08,0.44727
2024-09,0.43727
2024-10,0.45
2024-11,0.57
2024-12,0.62
2025-01,0.76727
2025-02,0.79182
2025-03,0.82091
2025-04,0.78364
2025-05,0.77545
2025-06,0.77273
2025-07,0.77273
2025-08,0.77273
2025-09,0.81818
2025-10,0.80909
2025-11,0.80636
2025-12,1.07273
2026-01,1.11636
2026-02,1.22909
2026-03,1.26882
2026-04,1.24182
