所管,項名,目名,元額_億円,分類,残存率,残す額_億円,理由
皇室費,内廷費,(内廷費),3,該当なし,50%,2,内廷費に係る(内廷費)。天皇・皇族の私的生活費（日常維持費。国事行為でなく宮内生活費が主体：市場の失敗への対応を実証できない）の遂行に伴う経費（人件費按分：同省庁非人件費残存率50%）
皇室費,宮廷費,報償費,3,一部③,50%,2,宮廷費に係る報償費。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）の遂行に伴う経費
皇室費,宮廷費,宮廷庁費,26,一部③,50%,13,宮廷費に係る宮廷庁費。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
皇室費,宮廷費,施設施工庁費,2,一部③,50%,1,宮廷費に係る施設施工庁費。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）の拠点施設整備工事を管理するためのコスト
皇室費,宮廷費,各所修繕,15,一部③,50%,8,宮廷費に係る各所修繕。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）を実施するための施設・設備の維持・補修コスト
皇室費,宮廷費,招宴費,1,一部③,50%,0,宮廷費に係る招宴費。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）の遂行に伴う経費
皇室費,宮廷費,施設整備費,73,一部③,50%,36,宮廷費に係る施設整備費。天皇の国事行為執行に係る公式費用（憲法上の法律公布・外国使節接受等の義務的行為③を遂行するための費用）の遂行に伴う経費
皇室費,皇族費,(皇族費),3,該当なし,50%,2,皇族費に係る(皇族費)。皇族の品位保持費（憲法上の制度維持の側面はあるが私的生活補助であり市場の失敗への直接対応ではない）の遂行に伴う経費（人件費按分：同省庁非人件費残存率50%）
国会,衆議院,議員歳費,102,③,100%,102,衆議院に係る議員歳費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,職員基本給,92,③,100%,92,衆議院に係る職員基本給。立法機能（③）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
国会,衆議院,職員諸手当,51,③,100%,51,衆議院に係る職員諸手当（扶養・通勤・地域等）。立法機能（③）の遂行の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
国会,衆議院,超過勤務手当,14,③,100%,14,衆議院に係る超過勤務手当。立法機能（③）の遂行の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
国会,衆議院,議員秘書手当,140,③,100%,140,衆議院に係る議員秘書手当。立法機能（③）の遂行の遂行に伴う経費
