所管,組織,項名,目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
皇室費,皇室費,内廷費,(内廷費),3,①法秩序維持,80%,2,1,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,報償費,3,①法秩序維持,80%,2,1,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,宮廷庁費,26,①法秩序維持,80%,21,5,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,施設施工庁費,2,①法秩序維持,80%,2,0,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,各所修繕,15,①法秩序維持,80%,12,3,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,招宴費,1,①法秩序維持,80%,1,0,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,宮廷費,施設整備費,73,①法秩序維持,80%,58,15,維持（内廷費は縮小）,①国家の象徴的秩序機能
皇室費,皇室費,皇族費,(皇族費),3,①法秩序維持,80%,2,1,維持（内廷費は縮小）,①国家の象徴的秩序機能
国会,衆議院,衆議院,議員歳費,102,③ルール修正・④裁定,50%,51,51,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,職員基本給,92,③ルール修正・④裁定,50%,46,46,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,職員諸手当,51,③ルール修正・④裁定,50%,26,25,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,超過勤務手当,14,③ルール修正・④裁定,50%,7,7,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議員秘書手当,140,③ルール修正・④裁定,50%,70,70,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,非常勤職員手当,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,休職者給与,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,短時間勤務職員給与,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,退職手当,17,③ルール修正・④裁定,50%,8,9,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議員秘書退職手当,4,③ルール修正・④裁定,50%,2,2,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,児童手当,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議員旅費,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議員調査研究広報滞在費,56,③ルール修正・④裁定,50%,28,28,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,職員旅費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,庁費,10,③ルール修正・④裁定,50%,5,5,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,情報処理業務庁費,22,③ルール修正・④裁定,50%,11,11,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,国会運営事務処理等庁費,40,③ルール修正・④裁定,50%,20,20,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議員特殊乗車券等購入費,10,③ルール修正・④裁定,50%,5,5,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,議案類印刷費,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,招へい外国人滞在費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
