所管,組織,科目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
皇室費,皇室費,内廷費,3,①法秩序維持,80%,2,1,維持（内廷費は縮小）,①国家の象徴的秩序機能。内廷費・皇族費は縮小余地あり。
皇室費,皇室費,宮廷費,120,①法秩序維持,80%,96,24,維持（内廷費は縮小）,①国家の象徴的秩序機能。内廷費・皇族費は縮小余地あり。
皇室費,皇室費,皇族費,3,①法秩序維持,80%,2,1,維持（内廷費は縮小）,①国家の象徴的秩序機能。内廷費・皇族費は縮小余地あり。
国会,衆議院,衆議院,693,③ルール修正・④裁定,50%,346,347,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,衆議院,衆議院施設費,22,③ルール修正・④裁定,50%,11,11,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,衆議院,衆議院予備経費,0,③ルール修正・④裁定,50%,0,0,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,参議院,参議院,429,③ルール修正・④裁定,50%,214,215,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,参議院,参議院施設費,11,③ルール修正・④裁定,50%,6,5,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,参議院,参議院予備経費,0,③ルール修正・④裁定,50%,0,0,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,国立国会図書館,国立国会図書館,200,③ルール修正・④裁定,50%,100,100,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,国立国会図書館,国立国会図書館施設費,8,③ルール修正・④裁定,50%,4,4,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,裁判官訴追委員会,裁判官訴追委員会,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定機能は必須。ただし議員定数削減・秘書手当削減等で大幅縮小可能。
裁判所,裁判所,最高裁判所,863,④裁定・⑤契約履行強制,100%,863,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
裁判所,裁判所,下級裁判所,2179,④裁定・⑤契約履行強制,100%,2179,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
