項目名,カテゴリ,方針,現行_億円,改革後_億円,削減額_億円,削減率,備考
所得税,一般会計国税,半減（フラット統合シナリオ）,253250,148512,104738,41.4%,フラット統合シナリオ：均一控除270万円・税率7.8%（個人・法人共通）。課税ベース個人190.4兆円（給与収入額面ベース・青色申告廃止+2.5兆円・退職所得案
防衛特別所得税,一般会計国税,廃止(所得税の一部とみなす),380,0,380,100.0%,
法人税,一般会計国税,半減（フラット統合シナリオ）,206960,87360,119600,57.8%,フラット統合シナリオ：所得税と同一税率7.8%。法人課税ベース：112兆円（会社標本調査の所得金額÷表面税率23.2%。受取配当益金不算入・繰越欠損金控除後）。
防衛特別法人税,一般会計国税,廃止(法人税の一部とみなす),5760,0,5760,100.0%,
相続税,一般会計国税,廃止,38180,0,38180,100.0%,
消費税,一般会計国税,一律5%（10%→5%）,266880,133440,133440,50.0%,軽減税率も5%に統一。
酒税,一般会計国税,ピグー税・現状維持,11470,11470,0,0.0%,"現行維持。Sandmo最適税率：純アルコール比例2,101円/L-アルコール（税収中立）。フラット化：ビール77円/350ml→37円（↓）、ワイン22.5円/"
たばこ税,一般会計国税,ピグー税・現状維持,9760,9760,0,0.0%,"現行維持。Sandmo最適税率354円/20本（現行150円の2.4倍）、最適税収11,024億円。フラット化：加熱式たばこは2026年10月に紙巻きと同率統一"
揮発油税,一般会計国税,ピグー税・現状維持,9720,9720,0,0.0%,"現行維持。R7.12.31暫定税率廃止済（53.8円/L→本則28.7円/L）。令和8年度予算9,720億円は本則税率ベース。BPR関数による最適混雑税：90〜"
石油ガス税(一般会計),一般会計国税,ピグー税・現状維持,40,40,0,0.0%,現行維持（連動）。
航空機燃料税(一般会計),一般会計国税,ピグー税・現状維持,400,400,0,0.0%,現行維持（連動）。
石油石炭税,一般会計国税,ピグー税・現状維持,5980,5980,0,0.0%,現行維持。CO2除外後の外部コスト800億円（SOx/NOx大気汚染のみ）。純ピグー税最適891億円（現行の0.15倍）だが現行維持。CO2は既存炭素価格付けと
電源開発促進税,一般会計国税,ピグー税・現状維持,3140,3140,0,0.0%,"現行維持。CO2除外後の外部コスト1,800億円（原子力リスクコスト）。最適税収1,801億円（現行の0.57倍）だが現行維持。"
自動車重量税(一般会計),一般会計国税,廃止（2027年・改革1年目）,4210,0,4210,100.0%,2027年廃止。車検時徴収という不合理な構造・受益者負担・小さな政府の観点から廃止が整合。新車5年・継続3年サイクルへの移行と同時施行。詳細：車検_強制保険改革
国際観光旅客税,一般会計国税,廃止,1300,0,1300,100.0%,
関税,一般会計国税,現状維持(留保),9030,9030,0,0.0%,相手国との関係で要交渉
とん税(一般会計),一般会計国税,廃止,90,0,90,100.0%,
印紙収入,一般会計国税,半減（段階的廃止の第1段階）,10800,5400,5400,50.0%,"内訳：収入印紙4,910億円＋現金収入5,890億円=10,800億円（全額印紙税）。課税文書20種類のうちデジタル対応可能な文書（契約書・領収書等、全体の約5"
地方法人税,特別会計国税,現状維持仮置き（地方財政とセットで後回し）,24499,24499,0,0.0%,地方交付税の財源として国が集めて地方に全額配分。地方財政の自主性確立・交付金縮小の観点から廃止が整合的だが、地方財政制度の抜本的議論（5兆円規模）が必要なため後
地方揮発油税,特別会計国税,ピグー税・現状維持(連動),1760,1760,0,0.0%,"現行維持。R7.12.31暫定税率廃止済（53.8円/L→本則28.7円/L）。令和8年度予算9,720億円は本則税率ベース。BPR関数による最適混雑税：90〜"
森林環境税,特別会計国税,廃止,666,0,666,100.0%,
石油ガス税(地方分),特別会計国税,ピグー税・現状維持(連動),40,40,0,0.0%,現行維持（連動）。
特別法人事業税,特別会計国税,現状維持仮置き（地方財政とセットで後回し）,26065,26065,0,0.0%,法人事業税の一部を国が集めて地方に再配分（偏在是正機能）。地方法人税と同様に地方財政制度改革とセット。現状維持仮置き。
自動車重量税(地方譲与税分),特別会計国税,廃止（一般会計分に連動）,3189,0,3189,100.0%,自動車重量税（一般会計）廃止に連動して廃止。
航空機燃料税(地方分),特別会計国税,ピグー税・現状維持(連動),145,145,0,0.0%,現行維持（連動）。
特別とん税,特別会計国税,廃止(連動),113,0,113,100.0%,
復興特別所得税,特別会計国税,廃止(所得税の一部とみなす),4938,0,4938,100.0%,
多目的ダムに係る負担金,一般会計公課,現状維持,310,310,0,0.0%,
土地改良事業費負担金(一般会計),一般会計公課,現状維持,454,454,0,0.0%,
電波利用料収入,一般会計公課,引き上げ（オークション）,750,2755,-2005,-267.3%,"統一方式（年間更新率×恒久権市場価値×100%）で修正。総市場価値34,315億円（年換算4,195億円×年金係数8.25）×更新率10%=3,431億円。前回"
特定基地局開設料収入,一般会計公課,引き上げ（オークション）,184,675,-491,-267.3%,統一方式で電波利用料と連動修正。
特定高周波数無線局開設価額競争落札金収入,一般会計公課,引き上げ（オークション）,4,100,-96,-2172.7%,オークション拡大。26GHz帯第1回（R8年度）：200〜500億円（1回限り）。年平均換算100億円（中央値）。改正電波法（R7.10施行）により同時時計オー
子ども・子育て拠出金,特別会計公課,廃止,7455,0,7455,100.0%,
子ども・子育て支援納付金,特別会計公課,廃止,6436,0,6436,100.0%,
年金保険料(厚生年金),特別会計公課,廃止,375687,0,375687,100.0%,移行財源は統合勘定積立金304兆円を優先活用
年金保険料(国民年金),特別会計公課,廃止,13221,0,13221,100.0%,同上
雇用保険料・労災保険料(合算),特別会計公課,半減,40977,20488,20489,50.0%,
自動車事故対策事業賦課金,特別会計公課,廃止（自賠責廃止に伴い）,104,0,104,100.0%,"自賠責保険廃止に伴い廃止。新強制保険（対人1億円以上・対物5,000万円以上・民間競争）に移行。車検時に次回車検日までの保険期間カバーを確認。"
自動車検査登録手数料,特別会計公課,減少（Y1：件数△1.6%）,466,459,7,1.6%,"2027年Y1：新車のみ初回5年化で件数3,100万台→3,050万台（△1.6%）。定常状態（Y6・2032年）：2,067万台（△33%）→311億円。3段"
石綿健康被害救済一般拠出金,特別会計公課,廃止(労働保険半減時の一部とみなす),46,0,46,100.0%,
健康保険料収入(協会けんぽ分),特別会計公課,半減(最終的に廃止),124877,62438,62439,50.0%,半減時点の数字
事業主拠出金収入(子ども子育て支援勘定),特別会計公課,廃止,302,0,302,100.0%,
地震再保険料収入,特別会計公課,現状維持（将来検討）,882,882,0,0.0%,地震リスクは民間保険で引き受け困難な巨大リスク。国の再保険機能として現状維持。民間再保険市場の育成・国の段階的撤退が整合的だが、日本の地震リスクの規模（1回で数
国営土地改良事業費負担金,特別会計公課,現状維持,34,34,0,0.0%,
空港使用料収入,特別会計公課,引き上げ（オークション）,2756,3414,-658,-23.9%,"オークション化（問い1+問い2）。路線スロット単位（毎日1便往復=1スロット）で評価：羽田685スロット×希少30%×15億円等。総市場価値5,426億円×年間"
公共事業費負担金収入(復興特会),特別会計公課,現状維持,0,0,0,0.0%,
農業・漁船・漁業共済真の保険料部分,特別会計公課,廃止（民間保険化・補助金廃止）,1,0,1,100.0%,廃止（民間保険化）。農業再保険：再保険料1.645億円に対し一般会計補填556.3億円（338倍）。漁船再保険：再保険料0円・補填65.75億円。漁業共済：再保
交通反則者納金,追加発見分,ピグー的行政罰・現状維持,432,432,0,0.0%,現行維持（ピグー的行政罰・抑止効果として存置）。
課徴金3件(価格協定等・金融商品・不当表示),追加発見分,ピグー的行政罰・現状維持,33,33,0,0.0%,現行維持（ピグー的行政罰）。
裁判所手数料,追加発見分,現状維持,119,119,0,0.0%,現状維持（H固定の予算制約下でτ*≈τ₀）。M/G/1モデル較正：ρ≈1.000。詳細：court_fee_analysis.md参照
法務省手数料,追加発見分,引き上げ（LRAC基準）,638,908,-270,-42.3%,"LRAC基準（手数料対象業務按分）。在留更新→12,000円、永住→41,000円、帰化→61,000円（0円→新設）、登記証明書→現状維持"
法務省罰金及科料,追加発見分,刑事罰として存置,337,337,0,0.0%,
法務省没収金・過料,追加発見分,ピグー的行政罰・現状維持,26,26,0,0.0%,現行維持（ピグー的行政罰）。
外務省手数料,追加発見分,現状維持（旅券は実費・査証は相互主義）,1294,1294,0,0.0%,現状維持。旅券は実費相当、査証は相互主義。関連歳出比回収率103.4%
財務省手数料・許可料,追加発見分,引き上げ（LRAC基準）,24,106,-82,-327.0%,"LRAC基準（手数料対象業務按分）。酒類免許→57,000円/件（国税庁歳出×0.8%÷9万件）、輸出入許可料→2,400円/件（税関歳出×2.2%÷100万件"
原子力損害賠償補償料等収入,追加発見分,現状維持（将来検討）,43,43,0,0.0%,原子力損害賠償法に基づく事業者からの補償料。原発政策（廃炉推進vs活用継続）の方向性とセットで検討が必要。事業者の完全民間保険化が整合的。将来検討。
特定アルコール譲渡者納付金,追加発見分,酒税と連動(ピグー税・現状維持),78,78,0,0.0%,現行維持（酒税連動・ピグー税）。
附帯工事費負担金・道路附属物等復旧費負担金,追加発見分,存置（原状回復義務の性格が強い）,169,169,0,0.0%,存置。受益者負担論より原状回復義務（道路法70条）の性格が強い
国土交通省許可料(道路占用等),追加発見分,引き上げ（オークション）,74,720,-646,-869.6%,"統一方式（年間更新率×恒久権市場価値×100%）。全国6,000万件：希少300万件×10万円＋非希少5,700万件×2万円=14,400億円×更新率5%=72"
航空機乗組員等保安検査料収入,追加発見分,現状維持（専用レーンコスト基準で既に十分回収）,27,27,0,0.0%,現状維持。乗組員専用レーンコスト推計10.8億円に対し現行27.76億円は既に2.6倍回収
雇用保険印紙納付金収入,追加発見分,半減(雇用保険料と連動),1,0,1,49.7%,
解散厚生年金基金等徴収金等,追加発見分,廃止(年金廃止と一体),213,0,213,100.0%,
国家公務員共済組合連合会等拠出金収入(厚生年金勘定),追加発見分,廃止(年金廃止と一体),47334,0,47334,100.0%,
職域等費用納付金,追加発見分,廃止(年金廃止と一体),212,0,212,100.0%,
国家公務員共済組合連合会等拠出金収入(基礎年金勘定),追加発見分,廃止(年金廃止と一体),25753,0,25753,100.0%,
船員保険料収入,追加発見分,半減(健康保険と一体),443,221,222,50.0%,
健康保険印紙納付金収入・日雇拠出金収入,追加発見分,半減(健康保険と一体),13,6,7,50.0%,
相続土地国庫帰属負担金,追加発見分,現状維持(サービス対価),3,3,0,0.0%,
小計：一般会計国税,,,837350,418485,418865,50.0%,
小計：特別会計国税,,,61415,52509,8906,14.5%,
小計：一般会計公課,,,1703,1703,0,0.0%,
小計：特別会計公課,,,573250,86602,486648,84.9%,
小計：追加発見分,,,77278,3535,73743,95.4%,
■ 総合計（令和8年度予算ベース）,,,1550996,562835,988161,63.7%,
【合計】,,,4652969,1698961,2954008,,
