特別会計,勘定,款名,目名,元額_億円,除外,フリードマン根拠,残存割合,残す額_億円,措置,理由
交付税及び譲与税配付金,,地方交付税交付金,地方交付税交付金,202304,False,[],0.5,101152,半減,地方財政改革とセット。即時廃止はしない
交付税及び譲与税配付金,,地方特例交付金,個人住民税減収補填特例交付金,1653,False,[],0.0,0,廃止,フラットタックス導入後は不要
交付税及び譲与税配付金,,地方特例交付金,軽油引取税減収補填特例交付金,4297,False,[],0.0,0,廃止,自動車重量税廃止に連動
交付税及び譲与税配付金,,地方特例交付金,自動車税減収補填特例交付金,1685,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方特例交付金,軽自動車税減収補填特例交付金,207,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方特例交付金,地方揮発油譲与税減収補填特例交付金,296,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方特例交付金,固定資産税減収補填特別交付金,18,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,交通安全対策特別交付金,交通安全対策特別交付金,438,False,[9],1.0,438,維持,⑨外部効果（事故補償）
交付税及び譲与税配付金,,地方譲与税譲与金,地方揮発油譲与税譲与金,1780,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方譲与税譲与金,森林環境譲与税譲与金,666,False,[9],0.5,333,半減,⑨CO2吸収外部効果あり。炭素税代替で縮小
交付税及び譲与税配付金,,地方譲与税譲与金,石油ガス譲与税譲与金,40,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方譲与税譲与金,特別法人事業譲与税譲与金,26016,False,[],0.0,0,廃止,フラットタックス（法人税統合）導入で廃止
交付税及び譲与税配付金,,地方譲与税譲与金,自動車重量譲与税譲与金,3172,False,[],0.0,0,廃止,自動車重量税廃止に連動
交付税及び譲与税配付金,,地方譲与税譲与金,航空機燃料譲与税譲与金,145,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,地方譲与税譲与金,特別とん譲与税譲与金,113,False,[],0.0,0,廃止,廃止
交付税及び譲与税配付金,,事務取扱費,職員旅費,0,False,[],0.4,0,縮小,管理費縮小
交付税及び譲与税配付金,,事務取扱費,地方交付税検査旅費,0,False,[],0.4,0,縮小,管理費縮小
交付税及び譲与税配付金,,事務取扱費,庁費,0,False,[],0.4,0,縮小,管理費縮小
交付税及び譲与税配付金,,事務取扱費,情報処理業務庁費,0,False,[],0.4,0,縮小,管理費縮小
交付税及び譲与税配付金,,事務取扱費,地方交付税算定等業務委託費,2,False,[],0.4,0,縮小,交付税縮小後は縮小
交付税及び譲与税配付金,,事務取扱費,国家公務員共済組合負担金,0,False,[],0.4,0,縮小,管理費縮小
交付税及び譲与税配付金,,諸支出金,通告書送付費支出金,2,False,[],0.4,0,縮小,縮小
交付税及び譲与税配付金,,諸支出金,賠償償還及払戻金,0,False,[5],1.0,0,維持,⑤返還義務
交付税及び譲与税配付金,,国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,267789,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
交付税及び譲与税配付金,,予備費,(予備費),25,False,[],0.2,5,縮小,予備費は縮小
地震再保険,,再保険費,再保険金,1262,False,[9],1.0,1262,維持,⑨巨大地震リスクは市場失敗。政府再保険として維持
地震再保険,,事務取扱費,職員基本給,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,職員諸手当,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,超過勤務手当,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,委員手当,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,退職手当,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,児童手当,0,False,[9],0.8,0,縮小,⑨管理費は縮小
